Sensor ID,Asset ID (FK),Sensor Type,Reading Value,Timestamp,Baseline Value
SNS-1001-T,AST-1001,Temperature,7.22,2024-09-09 08:42,7.0
SNS-1001-T,AST-1001,Temperature,7.43,2024-09-10 20:46,7.0
SNS-1001-T,AST-1001,Temperature,6.85,2024-09-11 20:35,7.0
SNS-1001-T,AST-1001,Temperature,7.22,2024-09-12 02:39,7.0
SNS-1001-T,AST-1001,Temperature,7.87,2024-09-13 05:42,7.0
SNS-1001-T,AST-1001,Temperature,7.32,2024-09-14 07:44,7.0
SNS-1001-T,AST-1001,Temperature,7.52,2024-09-15 13:05,7.0
SNS-1001-T,AST-1001,Temperature,7.3,2024-09-16 06:14,7.0
SNS-1001-T,AST-1001,Temperature,7.1,2024-09-17 14:46,7.0
SNS-1001-T,AST-1001,Temperature,7.27,2024-09-18 13:29,7.0
SNS-1001-T,AST-1001,Temperature,7.39,2024-09-19 00:38,7.0
SNS-1001-T,AST-1001,Temperature,6.8,2024-09-20 21:56,7.0
SNS-1001-T,AST-1001,Temperature,7.05,2024-09-21 21:25,7.0
SNS-1001-T,AST-1001,Temperature,7.43,2024-09-22 22:50,7.0
SNS-1001-T,AST-1001,Temperature,6.81,2024-09-23 07:10,7.0
SNS-1001-T,AST-1001,Temperature,6.54,2024-09-24 21:41,7.0
SNS-1001-T,AST-1001,Temperature,6.8,2024-09-25 22:08,7.0
SNS-1001-T,AST-1001,Temperature,7.21,2024-09-26 20:43,7.0
SNS-1001-T,AST-1001,Temperature,7.59,2024-09-27 06:47,7.0
SNS-1001-T,AST-1001,Temperature,7.58,2024-09-28 19:53,7.0
SNS-1001-T,AST-1001,Temperature,7.36,2024-09-29 14:41,7.0
SNS-1001-T,AST-1001,Temperature,8.7,2024-09-30 20:19,7.0
SNS-1001-T,AST-1001,Temperature,6.85,2024-10-01 00:27,7.0
SNS-1001-T,AST-1001,Temperature,7.07,2024-10-02 06:34,7.0
SNS-1001-T,AST-1001,Temperature,6.98,2024-10-03 12:45,7.0
SNS-1001-T,AST-1001,Temperature,7.6,2024-10-04 14:05,7.0
SNS-1001-T,AST-1001,Temperature,7.19,2024-10-05 14:42,7.0
SNS-1001-T,AST-1001,Temperature,6.91,2024-10-06 11:19,7.0
SNS-1001-T,AST-1001,Temperature,6.91,2024-10-07 01:01,7.0
SNS-1001-T,AST-1001,Temperature,7.51,2024-10-08 19:41,7.0
SNS-1001-T,AST-1001,Temperature,6.69,2024-10-09 05:32,7.0
SNS-1001-T,AST-1001,Temperature,7.04,2024-10-10 15:16,7.0
SNS-1001-T,AST-1001,Temperature,8.03,2024-10-11 05:21,7.0
SNS-1001-T,AST-1001,Temperature,7.59,2024-10-12 00:06,7.0
SNS-1001-T,AST-1001,Temperature,7.36,2024-10-13 02:29,7.0
SNS-1001-T,AST-1001,Temperature,7.49,2024-10-14 03:25,7.0
SNS-1001-T,AST-1001,Temperature,7.84,2024-10-15 01:22,7.0
SNS-1001-T,AST-1001,Temperature,6.61,2024-10-16 11:50,7.0
SNS-1001-T,AST-1001,Temperature,6.79,2024-10-17 14:01,7.0
SNS-1001-T,AST-1001,Temperature,7.37,2024-10-18 21:33,7.0
SNS-1001-T,AST-1001,Temperature,7.82,2024-10-19 12:55,7.0
SNS-1001-T,AST-1001,Temperature,6.69,2024-10-20 22:53,7.0
SNS-1001-T,AST-1001,Temperature,7.3,2024-10-21 07:49,7.0
SNS-1001-T,AST-1001,Temperature,6.94,2024-10-22 18:16,7.0
SNS-1001-T,AST-1001,Temperature,7.33,2024-10-23 20:43,7.0
SNS-1001-T,AST-1001,Temperature,6.92,2024-10-24 06:10,7.0
SNS-1001-T,AST-1001,Temperature,7.49,2024-10-25 09:21,7.0
SNS-1001-T,AST-1001,Temperature,7.44,2024-10-26 07:54,7.0
SNS-1001-T,AST-1001,Temperature,7.11,2024-10-27 17:06,7.0
SNS-1001-T,AST-1001,Temperature,7.64,2024-10-28 11:48,7.0
SNS-1001-T,AST-1001,Temperature,7.47,2024-10-29 00:53,7.0
SNS-1001-T,AST-1001,Temperature,7.07,2024-10-30 07:56,7.0
SNS-1001-T,AST-1001,Temperature,7.24,2024-10-31 10:17,7.0
SNS-1001-T,AST-1001,Temperature,7.44,2024-11-01 15:44,7.0
SNS-1001-T,AST-1001,Temperature,7.45,2024-11-02 11:03,7.0
SNS-1001-T,AST-1001,Temperature,7.45,2024-11-03 10:52,7.0
SNS-1001-T,AST-1001,Temperature,6.87,2024-11-04 17:36,7.0
SNS-1001-T,AST-1001,Temperature,7.07,2024-11-05 01:41,7.0
SNS-1001-T,AST-1001,Temperature,7.01,2024-11-06 22:22,7.0
SNS-1001-T,AST-1001,Temperature,7.29,2024-11-07 18:55,7.0
SNS-1001-T,AST-1001,Temperature,6.92,2024-11-08 12:25,7.0
SNS-1001-T,AST-1001,Temperature,7.12,2024-11-09 02:29,7.0
SNS-1001-T,AST-1001,Temperature,7.2,2024-11-10 02:06,7.0
SNS-1001-T,AST-1001,Temperature,7.09,2024-11-11 17:34,7.0
SNS-1001-T,AST-1001,Temperature,7.16,2024-11-12 19:13,7.0
SNS-1001-T,AST-1001,Temperature,7.36,2024-11-13 00:57,7.0
SNS-1001-T,AST-1001,Temperature,7.29,2024-11-14 12:57,7.0
SNS-1001-T,AST-1001,Temperature,7.21,2024-11-15 14:41,7.0
SNS-1001-T,AST-1001,Temperature,8.07,2024-11-16 20:02,7.0
SNS-1001-T,AST-1001,Temperature,6.9,2024-11-17 21:52,7.0
SNS-1001-T,AST-1001,Temperature,8.08,2024-11-18 04:27,7.0
SNS-1001-T,AST-1001,Temperature,6.88,2024-11-19 13:04,7.0
SNS-1001-T,AST-1001,Temperature,7.34,2024-11-20 18:40,7.0
SNS-1001-T,AST-1001,Temperature,7.96,2024-11-21 20:48,7.0
SNS-1001-T,AST-1001,Temperature,6.68,2024-11-22 19:02,7.0
SNS-1001-T,AST-1001,Temperature,7.94,2024-11-23 08:47,7.0
SNS-1001-T,AST-1001,Temperature,6.52,2024-11-24 19:49,7.0
SNS-1001-T,AST-1001,Temperature,7.75,2024-11-25 09:16,7.0
SNS-1001-T,AST-1001,Temperature,7.21,2024-11-26 21:50,7.0
SNS-1001-T,AST-1001,Temperature,7.22,2024-11-27 10:07,7.0
SNS-1001-T,AST-1001,Temperature,7.25,2024-11-28 15:36,7.0
SNS-1001-T,AST-1001,Temperature,7.41,2024-11-29 02:39,7.0
SNS-1001-T,AST-1001,Temperature,7.82,2024-11-30 19:32,7.0
SNS-1001-T,AST-1001,Temperature,7.25,2024-12-01 20:23,7.0
SNS-1001-T,AST-1001,Temperature,7.46,2024-12-02 04:08,7.0
SNS-1001-T,AST-1001,Temperature,7.75,2024-12-03 08:34,7.0
SNS-1001-T,AST-1001,Temperature,6.73,2024-12-04 08:30,7.0
SNS-1001-T,AST-1001,Temperature,6.39,2024-12-05 09:36,7.0
SNS-1001-T,AST-1001,Temperature,6.52,2024-12-06 22:29,7.0
SNS-1001-T,AST-1001,Temperature,7.18,2024-12-07 14:14,7.0
SNS-1001-T,AST-1001,Temperature,7.35,2024-12-08 07:52,7.0
SNS-1001-T,AST-1001,Temperature,6.82,2024-12-09 15:10,7.0
SNS-1001-T,AST-1001,Temperature,6.99,2024-12-10 02:07,7.0
SNS-1001-T,AST-1001,Temperature,6.88,2024-12-11 04:21,7.0
SNS-1001-T,AST-1001,Temperature,7.98,2024-12-12 18:37,7.0
SNS-1001-T,AST-1001,Temperature,7.21,2024-12-13 20:54,7.0
SNS-1001-T,AST-1001,Temperature,7.15,2024-12-14 17:10,7.0
SNS-1001-T,AST-1001,Temperature,7.11,2024-12-15 08:28,7.0
SNS-1001-T,AST-1001,Temperature,6.59,2024-12-16 17:02,7.0
SNS-1001-T,AST-1001,Temperature,7.74,2024-12-17 16:52,7.0
SNS-1001-T,AST-1001,Temperature,8.43,2024-12-18 10:31,7.0
SNS-1001-T,AST-1001,Temperature,7.64,2024-12-19 06:22,7.0
SNS-1001-T,AST-1001,Temperature,6.93,2024-12-20 20:35,7.0
SNS-1001-T,AST-1001,Temperature,6.76,2024-12-21 18:29,7.0
SNS-1001-T,AST-1001,Temperature,7.22,2024-12-22 17:25,7.0
SNS-1001-T,AST-1001,Temperature,6.85,2024-12-23 06:21,7.0
SNS-1001-T,AST-1001,Temperature,7.56,2024-12-24 22:35,7.0
SNS-1001-T,AST-1001,Temperature,7.95,2024-12-25 02:09,7.0
SNS-1001-T,AST-1001,Temperature,6.93,2024-12-26 06:10,7.0
SNS-1001-T,AST-1001,Temperature,6.99,2024-12-27 01:30,7.0
SNS-1001-T,AST-1001,Temperature,7.29,2024-12-28 09:57,7.0
SNS-1001-T,AST-1001,Temperature,7.17,2024-12-29 18:15,7.0
SNS-1001-T,AST-1001,Temperature,7.38,2024-12-30 12:33,7.0
SNS-1001-T,AST-1001,Temperature,6.79,2024-12-31 17:11,7.0
SNS-1001-T,AST-1001,Temperature,6.88,2025-01-01 05:06,7.0
SNS-1001-T,AST-1001,Temperature,6.46,2025-01-02 06:34,7.0
SNS-1001-T,AST-1001,Temperature,7.15,2025-01-03 01:19,7.0
SNS-1001-T,AST-1001,Temperature,6.7,2025-01-04 01:58,7.0
SNS-1001-T,AST-1001,Temperature,7.58,2025-01-05 15:44,7.0
SNS-1001-T,AST-1001,Temperature,6.95,2025-01-06 10:24,7.0
SNS-1001-T,AST-1001,Temperature,7.41,2025-01-07 22:07,7.0
SNS-1001-T,AST-1001,Temperature,7.09,2025-01-08 21:10,7.0
SNS-1001-T,AST-1001,Temperature,7.21,2025-01-09 19:08,7.0
SNS-1001-T,AST-1001,Temperature,7.11,2025-01-10 04:09,7.0
SNS-1001-T,AST-1001,Temperature,7.33,2025-01-11 12:21,7.0
SNS-1001-T,AST-1001,Temperature,7.0,2025-01-12 09:48,7.0
SNS-1001-T,AST-1001,Temperature,6.36,2025-01-13 06:44,7.0
SNS-1001-T,AST-1001,Temperature,6.77,2025-01-14 05:53,7.0
SNS-1001-T,AST-1001,Temperature,7.5,2025-01-15 14:06,7.0
SNS-1001-T,AST-1001,Temperature,6.28,2025-01-16 14:19,7.0
SNS-1001-T,AST-1001,Temperature,7.3,2025-01-17 12:52,7.0
SNS-1001-T,AST-1001,Temperature,7.0,2025-01-18 03:18,7.0
SNS-1001-T,AST-1001,Temperature,7.5,2025-01-19 13:44,7.0
SNS-1001-T,AST-1001,Temperature,6.82,2025-01-20 07:48,7.0
SNS-1001-T,AST-1001,Temperature,7.05,2025-01-21 03:13,7.0
SNS-1001-T,AST-1001,Temperature,6.77,2025-01-22 16:37,7.0
SNS-1001-T,AST-1001,Temperature,7.33,2025-01-23 07:10,7.0
SNS-1001-T,AST-1001,Temperature,7.91,2025-01-24 13:23,7.0
SNS-1001-T,AST-1001,Temperature,7.42,2025-01-25 13:29,7.0
SNS-1001-T,AST-1001,Temperature,7.14,2025-01-26 00:51,7.0
SNS-1001-T,AST-1001,Temperature,7.2,2025-01-27 21:41,7.0
SNS-1001-T,AST-1001,Temperature,7.45,2025-01-28 13:35,7.0
SNS-1001-T,AST-1001,Temperature,7.79,2025-01-29 21:26,7.0
SNS-1001-T,AST-1001,Temperature,6.95,2025-01-30 22:49,7.0
SNS-1001-T,AST-1001,Temperature,7.17,2025-01-31 09:03,7.0
SNS-1001-T,AST-1001,Temperature,7.59,2025-02-01 18:00,7.0
SNS-1001-T,AST-1001,Temperature,6.75,2025-02-02 21:20,7.0
SNS-1001-T,AST-1001,Temperature,6.49,2025-02-03 16:26,7.0
SNS-1001-T,AST-1001,Temperature,7.05,2025-02-04 04:29,7.0
SNS-1001-T,AST-1001,Temperature,6.55,2025-02-05 21:21,7.0
SNS-1001-T,AST-1001,Temperature,7.89,2025-02-06 15:10,7.0
SNS-1001-T,AST-1001,Temperature,7.6,2025-02-07 03:24,7.0
SNS-1001-T,AST-1001,Temperature,8.17,2025-02-08 17:12,7.0
SNS-1001-T,AST-1001,Temperature,7.17,2025-02-09 04:11,7.0
SNS-1001-T,AST-1001,Temperature,7.13,2025-02-10 01:45,7.0
SNS-1001-T,AST-1001,Temperature,6.93,2025-02-11 12:26,7.0
SNS-1001-T,AST-1001,Temperature,7.64,2025-02-12 04:50,7.0
SNS-1001-T,AST-1001,Temperature,6.31,2025-02-13 08:15,7.0
SNS-1001-T,AST-1001,Temperature,6.7,2025-02-14 03:42,7.0
SNS-1001-T,AST-1001,Temperature,7.84,2025-02-15 00:13,7.0
SNS-1001-T,AST-1001,Temperature,7.43,2025-02-16 02:47,7.0
SNS-1001-T,AST-1001,Temperature,6.69,2025-02-17 15:14,7.0
SNS-1001-T,AST-1001,Temperature,7.04,2025-02-18 19:48,7.0
SNS-1001-T,AST-1001,Temperature,6.99,2025-02-19 15:12,7.0
SNS-1001-T,AST-1001,Temperature,7.37,2025-02-20 01:12,7.0
SNS-1001-T,AST-1001,Temperature,7.01,2025-02-21 04:34,7.0
SNS-1001-T,AST-1001,Temperature,7.5,2025-02-22 07:15,7.0
SNS-1001-T,AST-1001,Temperature,7.06,2025-02-23 13:15,7.0
SNS-1001-T,AST-1001,Temperature,6.62,2025-02-24 10:17,7.0
SNS-1001-T,AST-1001,Temperature,7.84,2025-02-25 17:08,7.0
SNS-1001-T,AST-1001,Temperature,7.12,2025-02-26 18:25,7.0
SNS-1001-T,AST-1001,Temperature,7.57,2025-02-27 06:31,7.0
SNS-1001-T,AST-1001,Temperature,6.59,2025-02-28 19:58,7.0
SNS-1001-T,AST-1001,Temperature,7.43,2025-03-01 03:16,7.0
SNS-1001-T,AST-1001,Temperature,7.21,2025-03-02 12:38,7.0
SNS-1001-T,AST-1001,Temperature,6.74,2025-03-03 04:00,7.0
SNS-1001-T,AST-1001,Temperature,7.23,2025-03-04 15:10,7.0
SNS-1001-T,AST-1001,Temperature,7.52,2025-03-05 09:22,7.0
SNS-1001-T,AST-1001,Temperature,6.88,2025-03-06 16:04,7.0
SNS-1001-T,AST-1001,Temperature,7.14,2025-03-07 05:22,7.0
SNS-1001-T,AST-1001,Temperature,6.76,2025-03-08 06:33,7.0
SNS-1001-T,AST-1001,Temperature,6.59,2025-03-09 15:55,7.0
SNS-1001-T,AST-1001,Temperature,6.79,2025-03-10 06:35,7.0
SNS-1001-T,AST-1001,Temperature,7.41,2025-03-11 11:35,7.0
SNS-1001-T,AST-1001,Temperature,7.59,2025-03-12 01:42,7.0
SNS-1001-T,AST-1001,Temperature,6.85,2025-03-13 15:25,7.0
SNS-1001-T,AST-1001,Temperature,7.41,2025-03-14 15:16,7.0
SNS-1001-T,AST-1001,Temperature,6.9,2025-03-15 08:05,7.0
SNS-1001-T,AST-1001,Temperature,7.1,2025-03-16 12:51,7.0
SNS-1001-T,AST-1001,Temperature,7.38,2025-03-17 18:38,7.0
SNS-1001-T,AST-1001,Temperature,7.46,2025-03-18 11:13,7.0
SNS-1001-T,AST-1001,Temperature,7.31,2025-03-19 21:02,7.0
SNS-1001-T,AST-1001,Temperature,7.3,2025-03-20 13:54,7.0
SNS-1001-T,AST-1001,Temperature,7.21,2025-03-21 16:17,7.0
SNS-1001-T,AST-1001,Temperature,7.12,2025-03-22 19:18,7.0
SNS-1001-T,AST-1001,Temperature,7.4,2025-03-23 00:35,7.0
SNS-1001-T,AST-1001,Temperature,6.96,2025-03-24 16:20,7.0
SNS-1001-T,AST-1001,Temperature,7.01,2025-03-25 01:18,7.0
SNS-1001-T,AST-1001,Temperature,7.71,2025-03-26 14:52,7.0
SNS-1001-T,AST-1001,Temperature,7.21,2025-03-27 05:01,7.0
SNS-1001-T,AST-1001,Temperature,7.17,2025-03-28 18:58,7.0
SNS-1001-T,AST-1001,Temperature,7.56,2025-03-29 17:23,7.0
SNS-1001-T,AST-1001,Temperature,8.05,2025-03-30 22:45,7.0
SNS-1001-T,AST-1001,Temperature,6.99,2025-03-31 09:43,7.0
SNS-1001-T,AST-1001,Temperature,6.97,2025-04-01 06:17,7.0
SNS-1001-T,AST-1001,Temperature,7.02,2025-04-02 00:01,7.0
SNS-1001-T,AST-1001,Temperature,7.12,2025-04-03 15:12,7.0
SNS-1001-T,AST-1001,Temperature,7.23,2025-04-04 18:05,7.0
SNS-1001-T,AST-1001,Temperature,7.53,2025-04-05 10:36,7.0
SNS-1001-T,AST-1001,Temperature,7.05,2025-04-06 22:13,7.0
SNS-1001-T,AST-1001,Temperature,7.21,2025-04-07 11:13,7.0
SNS-1001-T,AST-1001,Temperature,7.34,2025-04-08 05:10,7.0
SNS-1001-T,AST-1001,Temperature,6.89,2025-04-09 22:52,7.0
SNS-1001-T,AST-1001,Temperature,7.62,2025-04-10 22:10,7.0
SNS-1001-T,AST-1001,Temperature,7.71,2025-04-11 03:48,7.0
SNS-1001-T,AST-1001,Temperature,6.92,2025-04-12 05:31,7.0
SNS-1001-T,AST-1001,Temperature,7.77,2025-04-13 20:15,7.0
SNS-1001-T,AST-1001,Temperature,7.87,2025-04-14 20:56,7.0
SNS-1001-T,AST-1001,Temperature,7.27,2025-04-15 12:05,7.0
SNS-1001-T,AST-1001,Temperature,7.29,2025-04-16 08:15,7.0
SNS-1001-T,AST-1001,Temperature,7.14,2025-04-17 05:40,7.0
SNS-1001-T,AST-1001,Temperature,7.87,2025-04-18 19:29,7.0
SNS-1001-T,AST-1001,Temperature,8.17,2025-04-19 07:40,7.0
SNS-1001-T,AST-1001,Temperature,6.95,2025-04-20 06:51,7.0
SNS-1001-T,AST-1001,Temperature,7.4,2025-04-21 19:41,7.0
SNS-1001-T,AST-1001,Temperature,7.6,2025-04-22 16:40,7.0
SNS-1001-T,AST-1001,Temperature,7.72,2025-04-23 20:51,7.0
SNS-1001-T,AST-1001,Temperature,7.42,2025-04-24 18:07,7.0
SNS-1001-T,AST-1001,Temperature,7.65,2025-04-25 18:49,7.0
SNS-1001-T,AST-1001,Temperature,6.84,2025-04-26 00:16,7.0
SNS-1001-T,AST-1001,Temperature,7.25,2025-04-27 05:37,7.0
SNS-1001-T,AST-1001,Temperature,7.19,2025-04-28 17:06,7.0
SNS-1001-T,AST-1001,Temperature,7.27,2025-04-29 07:37,7.0
SNS-1001-T,AST-1001,Temperature,7.81,2025-04-30 02:55,7.0
SNS-1001-T,AST-1001,Temperature,7.0,2025-05-01 16:03,7.0
SNS-1001-T,AST-1001,Temperature,7.26,2025-05-02 07:36,7.0
SNS-1001-T,AST-1001,Temperature,6.96,2025-05-03 00:01,7.0
SNS-1001-T,AST-1001,Temperature,7.34,2025-05-04 11:45,7.0
SNS-1001-T,AST-1001,Temperature,6.96,2025-05-05 22:25,7.0
SNS-1001-T,AST-1001,Temperature,7.94,2025-05-06 03:46,7.0
SNS-1001-T,AST-1001,Temperature,6.78,2025-05-07 15:38,7.0
SNS-1001-T,AST-1001,Temperature,7.48,2025-05-08 21:08,7.0
SNS-1001-T,AST-1001,Temperature,7.46,2025-05-09 14:23,7.0
SNS-1001-T,AST-1001,Temperature,7.16,2025-05-10 22:24,7.0
SNS-1001-T,AST-1001,Temperature,7.1,2025-05-11 00:38,7.0
SNS-1001-T,AST-1001,Temperature,7.34,2025-05-12 19:27,7.0
SNS-1001-T,AST-1001,Temperature,7.34,2025-05-13 19:44,7.0
SNS-1001-T,AST-1001,Temperature,7.39,2025-05-14 03:01,7.0
SNS-1001-T,AST-1001,Temperature,7.29,2025-05-15 11:06,7.0
SNS-1001-T,AST-1001,Temperature,7.5,2025-05-16 15:25,7.0
SNS-1001-T,AST-1001,Temperature,7.2,2025-05-17 13:15,7.0
SNS-1001-T,AST-1001,Temperature,6.65,2025-05-18 07:26,7.0
SNS-1001-T,AST-1001,Temperature,7.04,2025-05-19 06:41,7.0
SNS-1001-T,AST-1001,Temperature,6.26,2025-05-20 17:02,7.0
SNS-1001-T,AST-1001,Temperature,6.84,2025-05-21 22:08,7.0
SNS-1001-T,AST-1001,Temperature,7.21,2025-05-22 14:41,7.0
SNS-1001-T,AST-1001,Temperature,7.15,2025-05-23 11:05,7.0
SNS-1001-T,AST-1001,Temperature,7.25,2025-05-24 00:04,7.0
SNS-1001-T,AST-1001,Temperature,6.84,2025-05-25 15:47,7.0
SNS-1001-T,AST-1001,Temperature,7.13,2025-05-26 03:06,7.0
SNS-1001-T,AST-1001,Temperature,7.81,2025-05-27 21:03,7.0
SNS-1001-T,AST-1001,Temperature,7.62,2025-05-28 16:51,7.0
SNS-1001-T,AST-1001,Temperature,7.61,2025-05-29 18:04,7.0
SNS-1001-T,AST-1001,Temperature,7.51,2025-05-30 12:48,7.0
SNS-1001-T,AST-1001,Temperature,8.09,2025-05-31 16:04,7.0
SNS-1001-T,AST-1001,Temperature,6.99,2025-06-01 05:09,7.0
SNS-1001-T,AST-1001,Temperature,7.14,2025-06-02 07:10,7.0
SNS-1001-T,AST-1001,Temperature,7.44,2025-06-03 15:29,7.0
SNS-1001-T,AST-1001,Temperature,7.96,2025-06-04 22:57,7.0
SNS-1001-T,AST-1001,Temperature,7.45,2025-06-05 04:40,7.0
SNS-1001-T,AST-1001,Temperature,7.18,2025-06-06 16:43,7.0
SNS-1001-T,AST-1001,Temperature,6.62,2025-06-07 07:21,7.0
SNS-1001-T,AST-1001,Temperature,7.38,2025-06-08 16:28,7.0
SNS-1001-T,AST-1001,Temperature,7.71,2025-06-09 20:24,7.0
SNS-1001-T,AST-1001,Temperature,7.56,2025-06-10 04:36,7.0
SNS-1001-T,AST-1001,Temperature,6.67,2025-06-11 16:07,7.0
SNS-1001-T,AST-1001,Temperature,7.5,2025-06-12 05:57,7.0
SNS-1001-T,AST-1001,Temperature,7.41,2025-06-13 19:29,7.0
SNS-1001-T,AST-1001,Temperature,7.53,2025-06-14 11:21,7.0
SNS-1001-T,AST-1001,Temperature,7.17,2025-06-15 03:23,7.0
SNS-1001-T,AST-1001,Temperature,6.8,2025-06-16 03:57,7.0
SNS-1001-T,AST-1001,Temperature,7.79,2025-06-17 05:04,7.0
SNS-1001-T,AST-1001,Temperature,7.36,2025-06-18 19:25,7.0
SNS-1001-T,AST-1001,Temperature,6.82,2025-06-19 14:41,7.0
SNS-1001-T,AST-1001,Temperature,7.19,2025-06-20 16:39,7.0
SNS-1001-T,AST-1001,Temperature,7.2,2025-06-21 19:47,7.0
SNS-1001-T,AST-1001,Temperature,7.75,2025-06-22 02:15,7.0
SNS-1001-T,AST-1001,Temperature,7.44,2025-06-23 12:55,7.0
SNS-1001-T,AST-1001,Temperature,7.64,2025-06-24 11:02,7.0
SNS-1001-T,AST-1001,Temperature,7.32,2025-06-25 22:56,7.0
SNS-1001-T,AST-1001,Temperature,7.72,2025-06-26 11:28,7.0
SNS-1001-T,AST-1001,Temperature,7.5,2025-06-27 03:01,7.0
SNS-1001-T,AST-1001,Temperature,7.81,2025-06-28 15:57,7.0
SNS-1001-T,AST-1001,Temperature,6.95,2025-06-29 15:26,7.0
SNS-1001-T,AST-1001,Temperature,7.3,2025-06-30 19:55,7.0
SNS-1001-T,AST-1001,Temperature,7.47,2025-07-01 11:36,7.0
SNS-1001-T,AST-1001,Temperature,7.46,2025-07-02 21:40,7.0
SNS-1001-T,AST-1001,Temperature,7.81,2025-07-03 04:38,7.0
SNS-1001-T,AST-1001,Temperature,8.04,2025-07-04 15:58,7.0
SNS-1001-T,AST-1001,Temperature,6.94,2025-07-05 22:24,7.0
SNS-1001-T,AST-1001,Temperature,7.53,2025-07-06 16:51,7.0
SNS-1001-T,AST-1001,Temperature,7.57,2025-07-07 07:39,7.0
SNS-1001-T,AST-1001,Temperature,7.65,2025-07-08 10:48,7.0
SNS-1001-T,AST-1001,Temperature,7.69,2025-07-09 12:00,7.0
SNS-1001-T,AST-1001,Temperature,6.98,2025-07-10 15:22,7.0
SNS-1001-T,AST-1001,Temperature,6.85,2025-07-11 05:22,7.0
SNS-1001-T,AST-1001,Temperature,8.08,2025-07-12 10:22,7.0
SNS-1001-T,AST-1001,Temperature,7.83,2025-07-13 11:28,7.0
SNS-1001-T,AST-1001,Temperature,6.88,2025-07-14 12:35,7.0
SNS-1001-T,AST-1001,Temperature,6.78,2025-07-15 18:42,7.0
